NAME,LINK,PRICE,QUANTITY,Need To buy?
XIAO ESP32 S3,https://www.aliexpress.com/item/1005005382287176.html,"$6,64",2,Yes
INMP441,https://www.aliexpress.com/item/1005007987577953.html,"$1,39",2,Yes
MAX98357A,https://www.aliexpress.com/item/1005007003802663.html,"$1,63",2,Yes
SSD1306,"https://www.aliexpress.com/item/32896971385.html
","$1,85",2,Yes
LiPo 1000mAh,https://www.aliexpress.com/item/1005004375261361.html,"$7,69",2,Yes
SS-12D00 6mm,https://www.aliexpress.com/item/1005005633418066.html,"$1,77",2,Yes
8Ω 1W 28mm Speaker,https://www.aliexpress.com/item/1005005458778825.html,"$0,42",2,Yes
Mx Switches,https://www.aliexpress.com/item/1005004285423123.html,"$2,86",1,Yes
Keycaps,https://www.aliexpress.com/item/1005009364428646.html,"$3,54",1,Yes
TOTAL:,,"$49,18",,
